contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY251103P00500000,2025-10-30 13:32:18+00:00,500.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
SPY251103P00505000,2025-10-27 18:03:32+00:00,505.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
SPY251103P00510000,2025-10-24 13:54:38+00:00,510.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
SPY251103P00520000,2025-10-24 15:21:31+00:00,520.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
SPY251103P00525000,2025-10-27 15:26:36+00:00,525.0,0.01,0.0,0.0,0.0,0.0,12.0,0,0.500005,False,REGULAR,USD
SPY251103P00530000,2025-10-27 18:41:18+00:00,530.0,0.01,0.0,0.0,0.0,0.0,7.0,0,0.500005,False,REGULAR,USD
SPY251103P00535000,2025-10-27 16:04:18+00:00,535.0,0.02,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD
SPY251103P00540000,2025-10-27 18:41:02+00:00,540.0,0.01,0.0,0.0,0.0,0.0,9.0,0,0.500005,False,REGULAR,USD
SPY251103P00545000,2025-10-29 18:38:45+00:00,545.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
SPY251103P00550000,2025-10-29 16:35:06+00:00,550.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
SPY251103P00555000,2025-10-29 18:20:29+00:00,555.0,0.01,0.0,0.0,0.0,0.0,11.0,0,0.500005,False,REGULAR,USD
SPY251103P00560000,2025-10-28 17:42:37+00:00,560.0,0.02,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
SPY251103P00565000,2025-10-29 16:46:11+00:00,565.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
SPY251103P00570000,2025-10-31 13:30:48+00:00,570.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
SPY251103P00575000,2025-10-31 16:19:33+00:00,575.0,0.01,0.0,0.0,0.0,0.0,981.0,0,0.500005,False,REGULAR,USD
SPY251103P00580000,2025-10-31 17:26:00+00:00,580.0,0.01,0.0,0.0,0.0,0.0,1356.0,0,0.500005,False,REGULAR,USD
SPY251103P00585000,2025-10-31 20:01:46+00:00,585.0,0.01,0.0,0.0,0.0,0.0,286.0,0,0.500005,False,REGULAR,USD
SPY251103P00590000,2025-10-31 20:13:12+00:00,590.0,0.01,0.0,0.0,0.0,0.0,556.0,0,0.500005,False,REGULAR,USD
SPY251103P00595000,2025-10-31 18:21:57+00:00,595.0,0.01,0.0,0.0,0.0,0.0,347.0,0,0.500005,False,REGULAR,USD
SPY251103P00600000,2025-10-31 19:30:10+00:00,600.0,0.01,0.0,0.0,0.0,0.0,1739.0,0,0.500005,False,REGULAR,USD
SPY251103P00605000,2025-10-31 19:31:37+00:00,605.0,0.01,0.0,0.0,0.0,0.0,458.0,0,0.500005,False,REGULAR,USD
SPY251103P00610000,2025-10-31 19:55:23+00:00,610.0,0.02,0.0,0.0,0.0,0.0,104.0,0,0.500005,False,REGULAR,USD
SPY251103P00615000,2025-10-31 20:08:15+00:00,615.0,0.01,0.0,0.0,0.0,0.0,630.0,0,0.500005,False,REGULAR,USD
SPY251103P00620000,2025-10-31 20:07:48+00:00,620.0,0.02,0.0,0.0,0.0,0.0,111.0,0,0.500005,False,REGULAR,USD
SPY251103P00625000,2025-10-31 20:05:41+00:00,625.0,0.02,0.0,0.0,0.0,0.0,1060.0,0,0.2500075,False,REGULAR,USD
SPY251103P00630000,2025-10-31 20:10:50+00:00,630.0,0.02,0.0,0.0,0.0,0.0,2676.0,0,0.2500075,False,REGULAR,USD
SPY251103P00635000,2025-10-31 20:10:00+00:00,635.0,0.03,0.0,0.0,0.0,0.0,897.0,0,0.2500075,False,REGULAR,USD
SPY251103P00640000,2025-10-31 20:01:31+00:00,640.0,0.03,0.0,0.0,0.0,0.0,541.0,0,0.2500075,False,REGULAR,USD
SPY251103P00641000,2025-10-31 19:20:59+00:00,641.0,0.03,0.0,0.0,0.0,0.0,525.0,0,0.2500075,False,REGULAR,USD
SPY251103P00642000,2025-10-31 18:50:49+00:00,642.0,0.03,0.0,0.0,0.0,0.0,1363.0,0,0.2500075,False,REGULAR,USD
SPY251103P00643000,2025-10-31 18:48:48+00:00,643.0,0.03,0.0,0.0,0.0,0.0,315.0,0,0.2500075,False,REGULAR,USD
SPY251103P00644000,2025-10-31 20:14:12+00:00,644.0,0.03,0.0,0.0,0.0,0.0,144.0,0,0.2500075,False,REGULAR,USD
SPY251103P00645000,2025-10-31 20:14:57+00:00,645.0,0.03,0.0,0.0,0.0,0.0,2024.0,0,0.2500075,False,REGULAR,USD
SPY251103P00646000,2025-10-31 20:00:18+00:00,646.0,0.04,0.0,0.0,0.0,0.0,635.0,0,0.2500075,False,REGULAR,USD
SPY251103P00647000,2025-10-31 19:55:00+00:00,647.0,0.04,0.0,0.0,0.0,0.0,488.0,0,0.2500075,False,REGULAR,USD
SPY251103P00648000,2025-10-31 18:25:10+00:00,648.0,0.04,0.0,0.0,0.0,0.0,185.0,0,0.2500075,False,REGULAR,USD
SPY251103P00649000,2025-10-31 19:49:35+00:00,649.0,0.03,0.0,0.0,0.0,0.0,483.0,0,0.2500075,False,REGULAR,USD
SPY251103P00650000,2025-10-31 20:10:20+00:00,650.0,0.03,0.0,0.0,0.0,0.0,2481.0,0,0.2500075,False,REGULAR,USD
SPY251103P00651000,2025-10-31 20:10:24+00:00,651.0,0.04,0.0,0.0,0.0,0.0,1187.0,0,0.2500075,False,REGULAR,USD
SPY251103P00652000,2025-10-31 20:14:40+00:00,652.0,0.04,0.0,0.0,0.0,0.0,603.0,0,0.2500075,False,REGULAR,USD
SPY251103P00653000,2025-10-31 20:14:45+00:00,653.0,0.04,0.0,0.0,0.0,0.0,1097.0,0,0.12500875,False,REGULAR,USD
SPY251103P00654000,2025-10-31 20:05:13+00:00,654.0,0.05,0.0,0.0,0.0,0.0,523.0,0,0.12500875,False,REGULAR,USD
SPY251103P00655000,2025-10-31 20:14:59+00:00,655.0,0.05,0.0,0.0,0.0,0.0,3814.0,0,0.12500875,False,REGULAR,USD
SPY251103P00656000,2025-10-31 20:11:11+00:00,656.0,0.05,0.0,0.0,0.0,0.0,3492.0,0,0.12500875,False,REGULAR,USD
SPY251103P00657000,2025-10-31 20:14:53+00:00,657.0,0.05,0.0,0.0,0.0,0.0,1129.0,0,0.12500875,False,REGULAR,USD
SPY251103P00658000,2025-10-31 20:14:14+00:00,658.0,0.05,0.0,0.0,0.0,0.0,898.0,0,0.12500875,False,REGULAR,USD
SPY251103P00659000,2025-10-31 20:14:23+00:00,659.0,0.06,0.0,0.0,0.0,0.0,5990.0,0,0.12500875,False,REGULAR,USD
SPY251103P00660000,2025-10-31 20:14:53+00:00,660.0,0.07,0.0,0.0,0.0,0.0,8184.0,0,0.12500875,False,REGULAR,USD
SPY251103P00661000,2025-10-31 20:14:55+00:00,661.0,0.07,0.0,0.0,0.0,0.0,25894.0,0,0.12500875,False,REGULAR,USD
SPY251103P00662000,2025-10-31 20:14:30+00:00,662.0,0.09,0.0,0.0,0.0,0.0,1451.0,0,0.12500875,False,REGULAR,USD
SPY251103P00663000,2025-10-31 20:14:21+00:00,663.0,0.1,0.0,0.0,0.0,0.0,1911.0,0,0.12500875,False,REGULAR,USD
SPY251103P00664000,2025-10-31 20:14:37+00:00,664.0,0.1,0.0,0.0,0.0,0.0,15991.0,0,0.12500875,False,REGULAR,USD
SPY251103P00665000,2025-10-31 20:14:37+00:00,665.0,0.11,0.0,0.0,0.0,0.0,10256.0,0,0.12500875,False,REGULAR,USD
SPY251103P00666000,2025-10-31 20:14:58+00:00,666.0,0.13,0.0,0.0,0.0,0.0,15597.0,0,0.12500875,False,REGULAR,USD
SPY251103P00667000,2025-10-31 20:14:36+00:00,667.0,0.15,0.0,0.0,0.0,0.0,17247.0,0,0.12500875,False,REGULAR,USD
SPY251103P00668000,2025-10-31 20:14:40+00:00,668.0,0.17,0.0,0.0,0.0,0.0,28143.0,0,0.12500875,False,REGULAR,USD
SPY251103P00669000,2025-10-31 20:14:53+00:00,669.0,0.2,0.0,0.0,0.0,0.0,32577.0,0,0.062509375,False,REGULAR,USD
SPY251103P00670000,2025-10-31 20:14:54+00:00,670.0,0.23,0.0,0.0,0.0,0.0,31703.0,0,0.062509375,False,REGULAR,USD
SPY251103P00671000,2025-10-31 20:14:55+00:00,671.0,0.26,0.0,0.0,0.0,0.0,17103.0,0,0.062509375,False,REGULAR,USD
SPY251103P00672000,2025-10-31 20:14:59+00:00,672.0,0.32,0.0,0.0,0.0,0.0,18338.0,0,0.062509375,False,REGULAR,USD
SPY251103P00673000,2025-10-31 20:14:56+00:00,673.0,0.39,0.0,0.0,0.0,0.0,24483.0,0,0.062509375,False,REGULAR,USD
SPY251103P00674000,2025-10-31 20:14:55+00:00,674.0,0.45,0.0,0.0,0.0,0.0,22281.0,0,0.062509375,False,REGULAR,USD
SPY251103P00675000,2025-10-31 20:14:55+00:00,675.0,0.55,0.0,0.0,0.0,0.0,38626.0,0,0.062509375,False,REGULAR,USD
SPY251103P00676000,2025-10-31 20:14:52+00:00,676.0,0.65,0.0,0.0,0.0,0.0,30648.0,0,0.0312596875,False,REGULAR,USD
SPY251103P00677000,2025-10-31 20:14:55+00:00,677.0,0.8,0.0,0.0,0.0,0.0,32262.0,0,0.0312596875,False,REGULAR,USD
SPY251103P00678000,2025-10-31 20:14:57+00:00,678.0,0.97,0.0,0.0,0.0,0.0,35879.0,0,0.0312596875,False,REGULAR,USD
SPY251103P00679000,2025-10-31 20:14:46+00:00,679.0,1.16,0.0,0.0,0.0,0.0,41201.0,0,0.015634843750000002,False,REGULAR,USD
SPY251103P00680000,2025-10-31 20:14:55+00:00,680.0,1.42,0.0,0.0,0.0,0.0,73256.0,0,0.015634843750000002,False,REGULAR,USD
SPY251103P00681000,2025-10-31 20:14:57+00:00,681.0,1.72,0.0,0.0,0.0,0.0,52415.0,0,0.007822421875,False,REGULAR,USD
SPY251103P00682000,2025-10-31 20:14:57+00:00,682.0,2.12,0.0,0.0,0.0,0.0,71199.0,0,0.000986552734375,False,REGULAR,USD
SPY251103P00683000,2025-10-31 20:14:52+00:00,683.0,2.54,0.0,0.0,0.0,0.0,69280.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00684000,2025-10-31 20:14:47+00:00,684.0,3.09,0.0,0.0,0.0,0.0,57957.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00685000,2025-10-31 20:14:57+00:00,685.0,3.74,0.0,0.0,0.0,0.0,26089.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00686000,2025-10-31 20:14:32+00:00,686.0,4.52,0.0,0.0,0.0,0.0,7197.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00687000,2025-10-31 20:12:52+00:00,687.0,5.04,0.0,0.0,0.0,0.0,5868.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00688000,2025-10-31 20:12:59+00:00,688.0,5.96,0.0,0.0,0.0,0.0,2309.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00689000,2025-10-31 20:14:51+00:00,689.0,6.99,0.0,0.0,0.0,0.0,1846.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00690000,2025-10-31 20:10:01+00:00,690.0,7.78,0.0,0.0,0.0,0.0,1421.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00691000,2025-10-31 19:59:47+00:00,691.0,8.64,0.0,0.0,0.0,0.0,403.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00692000,2025-10-31 20:00:36+00:00,692.0,10.25,0.0,0.0,0.0,0.0,257.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00693000,2025-10-31 19:59:18+00:00,693.0,10.62,0.0,0.0,0.0,0.0,57.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00694000,2025-10-31 17:39:26+00:00,694.0,14.05,0.0,0.0,0.0,0.0,79.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00695000,2025-10-31 19:56:22+00:00,695.0,12.3,0.0,0.0,0.0,0.0,234.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00696000,2025-10-31 18:33:29+00:00,696.0,13.7,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00697000,2025-10-31 19:49:59+00:00,697.0,14.76,0.0,0.0,0.0,0.0,41.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00698000,2025-10-31 19:56:22+00:00,698.0,15.3,0.0,0.0,0.0,0.0,65.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00699000,2025-10-31 19:49:59+00:00,699.0,16.76,0.0,0.0,0.0,0.0,158.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00700000,2025-10-31 19:49:59+00:00,700.0,17.76,0.0,0.0,0.0,0.0,118.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00701000,2025-10-31 16:17:22+00:00,701.0,19.94,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00702000,2025-10-31 18:33:29+00:00,702.0,19.69,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00703000,2025-10-30 19:31:01+00:00,703.0,19.89,0.0,0.0,0.0,0.0,30.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00704000,2025-10-28 19:41:37+00:00,704.0,16.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00705000,2025-10-31 15:33:34+00:00,705.0,21.31,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00706000,2025-10-29 20:10:30+00:00,706.0,20.2,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00707000,2025-10-29 20:10:24+00:00,707.0,21.29,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00708000,2025-10-31 16:02:12+00:00,708.0,27.26,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00709000,2025-10-28 16:56:05+00:00,709.0,23.08,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00710000,2025-10-31 19:49:59+00:00,710.0,27.76,0.0,0.0,0.0,0.0,30.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00715000,2025-10-31 19:58:22+00:00,715.0,32.63,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00720000,2025-10-31 15:02:53+00:00,720.0,36.52,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00725000,2025-10-31 15:22:38+00:00,725.0,41.66,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00735000,2025-10-31 19:49:59+00:00,735.0,52.76,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00740000,2025-10-31 19:49:59+00:00,740.0,57.76,0.0,0.0,0.0,0.0,40.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00745000,2025-10-29 15:46:19+00:00,745.0,55.35,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00750000,2025-10-29 18:00:54+00:00,750.0,62.54,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103P00755000,2025-10-31 15:35:43+00:00,755.0,71.31,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
